mass_npea,size_npear,malign_ratio,damage_size,exposed_area,std_dev_malign,err_malign,malign_penalty,damage_ratio,penalty-err,d_size-ratio,d_ratio-m_ratio,penalty/std,mass/size,area/mass,err/std,dsr/ps,std/area,err/area,dr/area,std/err,penalty/err
6930.9,2919.02,0.42116000000000003,51.8298,13.804278116628605,109.48700000000001,2758.76,72,39.361999999999995,-2686.76,12.467799999999995,38.94084,0.657612319270781,0.007009196885666649,142.66969758617208,-24.53953437394394,-0.01929081868123688,0.0001107238510757599,0.002789925117993584,0.003980666404270884,0.04003500304374293,0.026451575499318782
15635.7,4879.36,0.31206,223.55,14.537452803027282,248.88099999999997,5952.53,240,22.0253,-5712.53,201.5247,21.713240000000006,0.9643162796677929,0.007595948416109747,131.6491299334216,-22.952856987877738,-0.039133273698343816,0.00012090838515383447,0.0028917867972233897,0.0010700067323454786,0.04197190574331531,0.040480185704951516
10376.2,2613.88,0.25190999999999997,127.337,14.176450364434038,160.093,4635.26,73,29.9963,-4562.26,97.3407,29.744390000000006,0.4559849587427308,0.007232433857370315,138.26604151808948,-28.497560792789198,-0.02791094764436924,0.00011158825326497041,0.003230875596240852,0.0020908064196510975,0.034746325702182355,0.015961141092173434
13093.8,4510.06,0.34444,155.44,14.410050028653764,173.015,5273.87,32,28.1354,-5241.87,127.3046,27.79096,0.18495506169985265,0.007225380643687753,138.40101294505794,-30.297199664768954,-0.029653539671910974,9.547260780427658e-05,0.002910210803229432,0.0015525590322321436,0.03298943860227835,0.006256078348850304
7545.21,2882.36,0.38201,85.1237,13.858491980392895,124.414,3263.35,57,35.02,-3206.35,50.1037,34.63799,0.4581477968717347,0.007227783796446232,138.35499624264932,-25.771617342099766,-0.026548474121664827,0.0001191799159004271,0.003126061203350577,0.0033546712225577162,0.03841928714751788,0.01776770260541915
6851.09,2195.18,0.32041,72.8283,13.762581929356847,97.1881,3688.57,40,36.3481,-3648.57,36.4802,36.02769,0.41157302179999394,0.007223484445494598,138.43734385331385,-37.541324503720105,-0.019960779154572887,0.0001024708080958174,0.003889064079017794,0.0038323819271573172,0.02661234235967877,0.011112406052737852
7069.24,1886.09,0.2668,58.2686,13.839992530713095,76.9447,3168.44,22,39.9961,-3146.44,18.2725,39.7293,0.2859196279925713,0.006898279141624293,144.96369014208034,-40.892225195497545,-0.01851889754770471,7.508388724509829e-05,0.0030918151828892605,0.003902884360643002,0.024592577868645563,0.007256802463526679
16446.1,5115.45,0.31104,204.97400000000002,14.58901870917749,265.881,6425.91,242,22.9533,-6183.91,182.0207,22.64226,0.910181622605602,0.007588095800180973,131.78536833656614,-23.25818693325209,-0.033146342686099894,0.00012267531508673284,0.0029648622277221297,0.0010590464567909348,0.04152555427102604,0.037809771725448166
6814.73,2043.78,0.2999,90.0889,13.781937706260837,99.6286,3428.54,27,37.1642,-3401.54,52.9247,36.8643,0.2710065182086268,0.007047411115486605,141.89607837727982,-34.14220414619898,-0.02648473926515637,0.00010303030392405402,0.003545603553756413,0.003843312885149775,0.029341719297631755,0.008164360234900308
5049.75,949.82,0.18809,41.2957,13.445350711904245,70.4142,2734.59,27,41.1366,-2707.59,0.15909999999999513,40.94851,0.3834453845957208,0.0073118771373985375,136.76378598940542,-38.45232921768621,-0.01525182911740699,0.00010195751851640341,0.003959599208111029,0.005956448637067353,0.026105593308938836,0.010235451950036372
7786.91,2288.1,0.29383000000000004,72.8165,13.891131652884418,117.321,3353.9,63,37.7183,-3290.9,35.09820000000001,37.42447,0.5369882629708237,0.00721977617008837,138.50844907671978,-28.050391660487037,-0.022126621896745573,0.00010877631307552516,0.003109629788563036,0.003497121239570564,0.03526811529404751,0.019076574562580103
12730.7,4139.31,0.32514,152.332,14.393020308540091,170.425,5202.67,29,27.9358,-5173.67,124.3962,27.61066,0.17016282822355874,0.007145674509913129,139.94480137777182,-30.357459292944107,-0.02944370243946753,9.565865021970079e-05,0.0029202311265279788,0.0015680216639621636,0.03294309593037222,0.005765161895354625
12433.6,3151.09,0.25343000000000004,112.381,14.366224616811479,165.43,4718.09,40,29.0498,-4678.09,83.3312,28.79637,0.2417941123133652,0.007168446777379698,139.5002336008879,-28.27836547180076,-0.02402283838062115,9.537673323751154e-05,0.002720159652545311,0.0016748322705694633,0.035267392654092206,0.008688115717225142
9205.53,2649.05,0.28776,85.2738,14.088822825893422,133.593,3997.23,4,36.2856,-3993.23,48.98819999999999,35.99784000000001,0.02994168856152643,0.007004080328873027,142.7739193506512,-29.891012253636045,-0.02135459264805684,0.00010164500070882764,0.003041315384663472,0.002760810699452993,0.033663145942079364,0.001250553369866166
9037.9,2387.35,0.26414,85.9327,14.015307955731155,112.059,3616.39,9,35.6783,-3607.39,50.2544,35.414159999999995,0.08031483414986748,0.007401112062704095,135.11483024817713,-32.19188106265449,-0.023821294620210175,9.176481446293478e-05,0.002961452068781737,0.0029216864150607503,0.03125430213496471,0.0027644240737106037
7056.91,3216.19,0.45575,46.1277,13.835817328747003,115.01,3482.17,34,41.6588,-3448.17,4.468899999999998,41.20305,0.29562646726371616,0.006915058934319328,144.6119273166301,-29.981479871315532,-0.013377443687521206,0.0001126981820706323,0.0034121748427171,0.0040821415765968675,0.03330586793064938,0.010048318055104977
